ID,bottleneck,timepoint,cfu,raw,dilution
1,p2,t0,7.00E+06,7,1.00E+05
2,p2,t0,2.10E+06,21,1.00E+05
3,p2,t0,1.60E+06,16,1.00E+05
1,p3,t0,1.60E+06,16,1.00E+05
2,p3,t0,8.00E+06,8,1.00E+05
3,p3,t0,1.20E+06,12,1.00E+05
1,p4,t0,1.40E+06,14,1.00E+05
2,p4,t0,1.00E+06,10,1.00E+05
3,p4,t0,1.10E+06,11,1.00E+05
1,p5,t0,1.50E+06,15,1.00E+05
2,p5,t0,1.70E+06,17,1.00E+05
3,p5,t0,8.00E+06,8,1.00E+05
1,p6,t0,1.30E+06,13,1.00E+05
2,p6,t0,6.00E+06,6,1.00E+05
3,p6,t0,1.40E+06,14,1.00E+05
1,p7,t0,1.50E+06,15,1.00E+05
2,p7,t0,1.30E+07,13,1.00E+05
3,p7,t0,7.00E+06,7,1.00E+05
1,p8,t0,1.30E+06,13,1.00E+05
2,p8,t0,6.00E+06,60,1.00E+05
3,p8,t0,1.30E+06,13,1.00E+05
1,p9,t0,1.90E+06,19,1.00E+05
2,p9,t0,2.10E+06,21,1.00E+05
3,p9,t0,1.50E+06,15,1.00E+05
1,p2,t1,7.60E+09,38,2.00E+06
2,p2,t1,1.20E+08,60,2.00E+06
3,p2,t1,6.80E+07,34,2.00E+06
1,p3,t1,5.60E+07,28,2.00E+06
2,p3,t1,1.00E+08,50,2.00E+06
3,p3,t1,1.00E+08,50,2.00E+06
1,p4,t1,4.80E+07,24,2.00E+06
2,p4,t1,1.20E+08,60,2.00E+06
3,p4,t1,1.00E+08,50,2.00E+06
1,p5,t1,9.00E+07,45,2.00E+06
2,p5,t1,7.60E+07,38,2.00E+06
3,p5,t1,6.00E+07,30,2.00E+06
1,p6,t1,3.50E+08,35,1.00E+07
2,p6,t1,4.30E+08,43,1.00E+07
3,p6,t1,1.90E+08,19,1.00E+07
1,p7,t1,4.20E+08,42,1.00E+07
2,p7,t1,3.00E+07,3,1.00E+07
3,p7,t1,2.00E+07,2,1.00E+07
1,p8,t1,2.00E+08,20,1.00E+07
2,p8,t1,4.70E+08,47,1.00E+07
3,p8,t1,5.20E+09,520,1.00E+07
1,p9,t1,3.08E+09,308,1.00E+07
2,p9,t1,3.10E+08,31,1.00E+07
3,p9,t1,3.30E+08,33,1.00E+07
1,p2,t2,1.20E+09,120,1.00E+07
2,p2,t2,6.00E+08,60,1.00E+07
3,p2,t2,7.10E+08,71,1.00E+07
1,p3,t2,1.56E+09,156,1.00E+07
2,p3,t2,3.10E+08,31,1.00E+07
3,p3,t2,7.60E+08,76,1.00E+07
1,p4,t2,3.50E+08,35,1.00E+07
2,p4,t2,3.40E+08,34,1.00E+07
3,p4,t2,1.40E+08,14,1.00E+07
1,p5,t2,1.30E+08,13,1.00E+07
2,p5,t2,2.20E+08,22,1.00E+07
3,p5,t2,4.70E+08,47,1.00E+07
1,p6,t2,1.20E+08,12,1.00E+07
2,p6,t2,1.28E+09,128,1.00E+07
3,p6,t2,5.20E+08,52,1.00E+07
1,p7,t2,7.20E+07,72,1.00E+06
2,p7,t2,9.60E+07,96,1.00E+06
3,p7,t2,1.92E+08,192,1.00E+06
