ID,Bottleneck,pfu,cfu
1,2,3.20E+04,770000000
2,2,8.00E+04,470000000
3,2,1.20E+04,620000000
4,2,2.00E+03,510000000
5,2,1.00E+04,310000000
6,2,1.00E+05,300000000
1,3,2.40E+04,1160000000
2,3,2.40E+04,1530000000
3,3,4.00E+03,2840000000
4,3,1.40E+05,1640000000
5,3,1.20E+05,1340000000
6,3,0.00E+00,2040000000
1,4,6.00E+05,168000000
2,4,4.60E+07,464000000
3,4,6.00E+04,268000000
4,4,3.20E+05,210000000
5,4,4.40E+05,420000000
6,4,1.20E+05,162000000
1,5,1.20E+04,29200000
2,5,4.00E+04,27600000
3,5,1.60E+06,46400000
4,5,6.00E+05,17000000
5,5,2.60E+05,61200000
6,5,4.00E+05,40400000
1,6,0.00E+00,131200
2,6,0.00E+00,83200
3,6,0.00E+00,72800
4,6,0.00E+00,NA
5,6,0.00E+00,NA
6,6,0.00E+00,NA
1,7,0.00E+00,80800
2,7,0.00E+00,84800
3,7,0.00E+00,130000
4,7,0.00E+00,64800
5,7,0.00E+00,200000
6,7,0.00E+00,192000
1,8,0.00E+00,8000
2,8,0.00E+00,2500
3,8,0.00E+00,109600
4,8,0.00E+00,26200
5,8,0.00E+00,137600
6,8,0.00E+00,27600
1,9,0.00E+00,1080
2,9,0.00E+00,9540
3,9,0.00E+00,8260
4,9,0.00E+00,11440
5,9,0.00E+00,NA
6,9,0.00E+00,1210
