ID,bottleneck,timepoint,pfu,cfu,prop.Sensitive,prop.CRISPR,prop.SM,mean.CR1.spacers, mean.CR2.spacers,mean.total.spacers
1,2,t3,1.40E+04,9.12E+08,0,0.833333333,0.166666667,0.166666667,1.92,2.086666667
2,2,t3,1.40E+04,2.77E+09,0,1,0,0.25,2,2.25
3,2,t3,8.00E+03,8.00E+08,0.041666667,0.75,0.208333333,0.125,1.38,1.505
4,2,t3,2.00E+04,7.84E+08,0.041666667,0.833333333,0.125,0.125,1.89,2.015
5,2,t3,4.00E+03,2.90E+09,0.125,0.833333333,0.041666667,0.166666667,1.86,2.026666667
6,2,t3,1.00E+04,1.34E+09,0,0.875,0.125,0.083333333,1.96,2.043333333
1,3,t3,2.40E+04,1.96E+09,0.041666667,0.708333333,0.25,0.083333333,1.08,1.08
2,3,t3,1.80E+04,6.88E+08,0.041666667,0.791666667,0.166666667,0.125,1.33,1.33
3,3,t3,4.00E+04,3.57E+09,0,0.916666667,0.083333333,0.208333333,1.71,1.71
4,3,t3,2.40E+04,2.94E+08,0.166666667,0.791666667,0.041666667,0,1.38,1.38
5,3,t3,3.80E+04,8.88E+08,0.041666667,0.833333333,0.125,0.083333333,1.92,1.92
6,3,t3,2.20E+04,8.52E+08,0,0.791666667,0.208333333,0.083333333,1.67,1.67
1,4,t3,8.00E+03,4.06E+08,0.083333333,0.791666667,0.125,0.125,1.46,1.46
2,4,t3,2.00E+03,4.52E+08,0.125,0.75,0.125,0.083333333,1.75,1.75
3,4,t3,8.00E+03,2.82E+08,0.041666667,0.708333333,0.25,0.083333333,1.42,1.42
4,4,t3,8.00E+03,2.73E+08,0.083333333,0.75,0.166666667,0.041666667,1,1
5,4,t3,4.00E+03,4.00E+08,0.125,0.75,0.125,0.041666667,1.21,1.21
6,4,t3,2.40E+04,5.46E+08,0,0.75,0.25,0.208333333,2.25,2.25
1,5,t3,2.00E+03,1.64E+08,0.041666667,0.75,0.208333333,0.086956522,1.54,1.54
2,5,t3,2.00E+03,2.91E+08,0,1,0,0.083333333,2.08,2.08
3,5,t3,2.00E+03,2.97E+08,0.041666667,0.875,0.083333333,0.166666667,1.75,1.75
4,5,t3,2.00E+03,4.48E+08,0.166666667,0.583333333,0.25,0.083333333,1.38,1.38
5,5,t3,0.00E+00,1.74E+08,0.083333333,0.75,0.166666667,0.083333333,1.46,1.46
6,5,t3,0.00E+00,1.98E+08,0.166666667,0.708333333,0.125,0.083333333,1.58,1.58
1,6,t3,4.00E+03,3.80E+08,0.166666667,0.833333333,0,0.130434783,1.25,1.25
2,6,t3,0.00E+00,3.50E+08,0.083333333,0.833333333,0.083333333,0.166666667,2.71,2.71
3,6,t3,0.00E+00,1.85E+08,0.125,0.75,0.125,0,1.67,1.67
4,6,t3,0.00E+00,1.22E+08,0.166666667,0.625,0.208333333,0.041666667,1.17,1.17
5,6,t3,0.00E+00,2.38E+08,0.208333333,0.625,0.166666667,0.041666667,1.17,1.17
6,6,t3,1.00E+04,2.65E+08,0.041666667,0.75,0.208333333,0.125,1.38,1.38
1,7,t3,1.20E+04,6.80E+07,0.333333333,0.458333333,0.208333333,0,0.71,0.71
2,7,t3,0.00E+00,1.21E+08,0.166666667,0.625,0.208333333,0.166666667,1.25,1.25
3,7,t3,2.00E+03,1.32E+08,0.25,0.666666667,0.083333333,0.125,2,2
4,7,t3,6.00E+03,7.40E+06,0.208333333,0.666666667,0.125,0.083333333,2.42,2.42
5,7,t3,4.00E+03,4.80E+07,0.125,0.541666667,0.333333333,0,0.83,0.83
6,7,t3,8.00E+03,2.74E+07,0.375,0.625,0,0.041666667,1.08,1.08
1,8,t3,0.00E+00,0.00E+00,NA,NA,NA,0,0,0
2,8,t3,1.00E+04,0.00E+00,NA,NA,NA,0,0,0
3,8,t3,2.00E+02,4.28E+06,0,1,0,1,1,2
4,8,t3,2.00E+02,9.40E+06,0,1,0,1,1,2
5,8,t3,0.00E+00,0.00E+00,NA,NA,NA,0,0,0
6,8,t3,2.00E+03,0.00E+00,NA,NA,NA,0,0,0
1,9,t3,0.00E+00,0.00E+00,NA,NA,NA,0,0,0
2,9,t3,0.00E+00,0.00E+00,NA,NA,NA,0,0,0
3,9,t3,0.00E+00,0.00E+00,NA,NA,NA,0,0,0
4,9,t3,0.00E+00,0.00E+00,NA,NA,NA,0,0,0
5,9,t3,0.00E+00,0.00E+00,NA,NA,NA,0,0,0
6,9,t3,0.00E+00,0.00E+00,NA,NA,NA,0,0,0
