bottleneck,timepoint,pfu,cfu,prop.Sensitive,prop.CRISPR,prop.SM,mean.CR1.spacers, mean.CR2.spacers,mean.total.spacers
100,t3,1.40E+04,9.12E+08,0,0.833333333,0.166666667,1.333333333,2.19047619,3.523809524
100,t3,1.40E+04,2.77E+09,0,1,0,1.2,2,3.2
100,t3,8.00E+03,8.00E+08,0.041666667,0.75,0.208333333,1,1.65,2.65
100,t3,2.00E+04,7.84E+08,0.041666667,0.833333333,0.125,1,2.15,3.15
100,t3,4.00E+03,2.90E+09,0.125,0.833333333,0.041666667,1.333333333,2.2,3.533333333
100,t3,1.00E+04,1.34E+09,0,0.875,0.125,1,2.238095238,3.238095238
1000,t3,2.40E+04,1.96E+09,0.041666667,0.708333333,0.25,1,1.625,2.625
1000,t3,1.80E+04,6.88E+08,0.041666667,0.791666667,0.166666667,1.5,1.722222222,3.222222222
1000,t3,4.00E+04,3.57E+09,0,0.916666667,0.083333333,1,1.952380952,2.952380952
1000,t3,2.40E+04,2.94E+08,0.166666667,0.791666667,0.041666667,0,1.736842105,1.736842105
1000,t3,3.80E+04,8.88E+08,0.041666667,0.833333333,0.125,1,2.3,3.3
1000,t3,2.20E+04,8.52E+08,0,0.791666667,0.208333333,2,2.105263158,4.105263158
10000,t3,8.00E+03,4.06E+08,0.083333333,0.791666667,0.125,1,1.722222222,2.722222222
10000,t3,2.00E+03,4.52E+08,0.125,0.75,0.125,1,2.047619048,3.047619048
10000,t3,8.00E+03,2.82E+08,0.041666667,0.708333333,0.25,2,2,4
10000,t3,8.00E+03,2.73E+08,0.083333333,0.75,0.166666667,1,1.333333333,2.333333333
10000,t3,4.00E+03,4.00E+08,0.125,0.75,0.125,1,1.526315789,2.526315789
10000,t3,2.40E+04,5.46E+08,0,0.75,0.25,1,3,4
100000,t3,2.00E+03,1.64E+08,0.041666667,0.75,0.208333333,1,1.842105263,2.842105263
100000,t3,2.00E+03,2.91E+08,0,1,0,1,2.083333333,3.083333333
100000,t3,2.00E+03,2.97E+08,0.041666667,0.875,0.083333333,1,2,3
100000,t3,2.00E+03,4.48E+08,0.166666667,0.583333333,0.25,1,2.214285714,3.214285714
100000,t3,0.00E+00,1.74E+08,0.083333333,0.75,0.166666667,1,1.65,2.65
100000,t3,0.00E+00,1.98E+08,0.166666667,0.708333333,0.125,1,1.764705882,2.764705882
1000000,t3,4.00E+03,3.80E+08,0.166666667,0.833333333,0,1,1.473684211,2.473684211
1000000,t3,0.00E+00,3.50E+08,0.083333333,0.833333333,0.083333333,1,3.210526316,4.210526316
1000000,t3,0.00E+00,1.85E+08,0.125,0.75,0.125,0,1.888888889,1.888888889
1000000,t3,0.00E+00,1.22E+08,0.166666667,0.625,0.208333333,1,1.8,2.8
1000000,t3,0.00E+00,2.38E+08,0.208333333,0.625,0.166666667,1,1.8,2.8
1000000,t3,1.00E+04,2.65E+08,0.041666667,0.75,0.208333333,1,1.833333333,2.833333333
10000000,t3,1.20E+04,6.80E+07,0.333333333,0.458333333,0.208333333,0,1.454545455,1.454545455
10000000,t3,0.00E+00,1.21E+08,0.166666667,0.625,0.208333333,2,2,4
10000000,t3,2.00E+03,1.32E+08,0.25,0.666666667,0.083333333,1,3,4
10000000,t3,6.00E+03,7.40E+06,0.208333333,0.666666667,0.125,1,3.5625,4.5625
10000000,t3,4.00E+03,4.80E+07,0.125,0.541666667,0.333333333,0,1.538461538,1.538461538
10000000,t3,8.00E+03,2.74E+07,0.375,0.625,0,1,1.666666667,2.666666667
100000000,t3,0.00E+00,0.00E+00,na,na,na,0,0,0
100000000,t3,1.00E+04,0.00E+00,na,na,na,0,0,0
100000000,t3,2.00E+02,4.28E+06,0,1,0,0,1,1
100000000,t3,2.00E+02,9.40E+06,0,1,0,0,1,1
100000000,t3,0.00E+00,0.00E+00,na,na,na,0,0,0
100000000,t3,2.00E+03,0.00E+00,na,na,na,0,0,0
1000000000,t3,0.00E+00,0.00E+00,na,na,na,0,0,0
1000000000,t3,0.00E+00,0.00E+00,na,na,na,0,0,0
1000000000,t3,0.00E+00,0.00E+00,na,na,na,0,0,0
1000000000,t3,0.00E+00,0.00E+00,na,na,na,0,0,0
1000000000,t3,0.00E+00,0.00E+00,na,na,na,0,0,0
1000000000,t3,0.00E+00,0.00E+00,na,na,na,0,0,0
